text,label
"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts",0
Evercore downgrades bluebird bio and Clovis in premarket analyst action,0
"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act https://t.co/NhiYwphBQd",0
Forescout downgraded to neutral from buy at Monness Crespi Hardt,0
FormFactor cut on 'unsustainable' revenue outlook,0
Funko downgraded to hold from buy at Stifel Nicolaus,0
Funko stock price target cut to $10 from $25 at Stifel Nicolaus,0
GM stock price target cut to $30 from $32 at Deutsche Bank,0
Grubhub gains a bear on margin view,0
H&P downgraded at Argus as drilling industry weakness seen persisting,0
Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,0
Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank,0
Hexo stock price target cut to C$5 from C$6 at MKM Partners,0
Home Depot stock price target cut to $237 from $240 at Instinet,0
Intelsat downgraded to underweight from neutral at J.P. Morgan,0
Intelsat lower after Morgan Stanley target cut,0
Jefferies warns on L Brands,0
Kohl's stock price target cut to $48 from $52 at Deutsche Bank,0
Kohl's stock price target cut to $50 from $53 at Wedbush,0
L Brands stock price target cut to $16 from $20 at Wedbush,0
Lovesac stock price target cut to $28 vs. $33 at Canaccord,0
Lyft stock price target cut to $58 from $70 at Deutsche Bank,0
Macerich downgraded to underweight from sector weight at KeyBanc Capital,0
Marinus Pharma stock price target cut to $6 from $7 at Leerink,0
Methanex downgraded at TD Securities on valuation,0
Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models,0
Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,0
Mitek Systems stock price target cut to $11 from $14 at Benchmark,0
Napco Security stock price target cut to $30 from $35 at Imperial Capital,0
Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall,0
Netflix downgraded to ‘underperform’ at Needham,0
Netflix stock falls after Wells Fargo turns bearish,0
New Netflix bear steps out,0
"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA",0
Norwegian Cruise Line downgraded to strong sell from hold at CFRA,0
Novo Nordisk downgraded by UBS on concerns over drug launch cost,0
Oppenheimer cuts estimates on Yum China,0
Orbcomm price target lowered to $9 at Canaccord,0
O'Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan,0
Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank,0
PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,0
Rio Tinto downgraded to neutral from overweight at J.P. Morgan,0
"Rosenblatt Projects 47% Downside In Apple Shares, Warns Of Drop In iPhone Production",0
Royal Caribbean downgraded to sell from buy at CFRA,0
Royal Caribbean stock price target cut to $100 from $135 at CFRA,0
Royal Caribbean's stock falls after CFRA swings to bearish on 'more dire' coronavirus assessment,0
Scandinavian Tobacco Group A/S Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now,0
Sherwin-Williams cut from Conviction Buy at Goldman on valuation,0
Sirius downgraded on valuation,0
Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth https://t.co/jMJ3N4A06T,0
SunTrust latest to trim Nielsen target,0
Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG,0
Take-Two downgraded on murky game slate,0
Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners,0
Target Hospitality downgraded to perform from outperform at Oppenheimer,0
Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital,0
"The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price",0
Transocean started at sell with $3 stock price target at Deutsche Bank,0
Ultra Clean downgraded to hold from buy at Stifel Nicolaus,0
Wells Fargo Downgrades Netflix $NFLX to Underperform but sees as a takeover target. NFLX could get acquired: NFLX i… https://t.co/vuNpYwRDSg,0
Wells Fargo Downgrades Netflix On Spending Concerns,0
"Wells Fargo downgrades Netflix: 'If content is king, then cash is queen' https://t.co/niUwYR5YUD",0
Welltower stock price target cut to $90 from $95 at J.P. Morgan,0
WWE stock price target cut to $57 from $79 at Benchmark,0
$ALTG: Dougherty & Company starts at Buy,1
$AMD - AMD's Navi shows strong adoption - BofA https://t.co/WnCksfl1gX,1
$ANCUF: BMO Capital Markets ups to Outperform,1
$BHE: Lake Street starts at Buy,1
$CNC *S&P Raises Centene Corp. Rtg To BBB- From BB+; Outlk Stable*,1
$DE - Citi gives big boost to Deere PT https://t.co/MfhnyZe593,1
$EBAY - Guggenheim sees favorable catalysts for eBay https://t.co/1adfDkHeaw,1
$FCX - Freeport upgraded as Credit Suisse sees big buying opportunity https://t.co/d4TGqrNi7Y,1
$FLXN: BTIG Research starts at Buy https://t.co/MCyfTsXc2N,1
"$FNV - Franco-Nevada will not need more funding despite suspensions, analyst says https://t.co/pyARTEahWH",1
$GBT: Cantor Fitzgerald resumes at Overweight,1
$GM - Morgan Stanley sees GM doubling in bull case scenario https://t.co/uNK2xzGQuq,1
$GOOS: Barclays starts at Overweight,1
$HAS - Hasbro gains after UBS upgrade https://t.co/taTMaip1uM,1
"$JD - New https://t.co/BDnqOJSFq5 bull praises acceleration, margin profile https://t.co/Swtzl0mjnF",1
$JD: Barclays ups to Overweight,1
$KHC - JPMorgan constructive on Kraft Heinz https://t.co/Sp4I2ehAVw,1
$KIM: Compass Point ups to Neutral,1
$LOW - Lowe's racks up another positive rating despite recession risk https://t.co/ekx4f6aqIK,1
$LRCX - Lam target boosted on 'compelling' setup https://t.co/TBgKmZH6pM,1
$LULU: Barclays starts at Overweight https://t.co/MCyfTsXc2N,1
"$MU $WDC - Bull sees 2020 upsides for MU, WDC https://t.co/65zGfs82xI",1
$NBY Rated buy https://t.co/xWbLXU1yOY,1
$NFLX - SunTrust expecting Netflix to post strong user growth https://t.co/6z62FXsUom,1
$NVDA - Nvidia set for gaming tailwinds - BofA https://t.co/l3m78pJzrW,1
$OCN - BTIG sees 'material improvement' to Ocwen book value https://t.co/8MMo05uiM6,1
$OYST: Cowen starts at Outperform,1
$RAPT: BMO Capital Markets starts at Outperform,1
$RNG - Evercore starts RingCentral at Outperform https://t.co/rfNcO3sw2k,1
$SBAC $SBAC $AMT - MoffettNathanson boosts SBAC to Buy https://t.co/8k4l0c5x89,1
$SNAP - Loop turns bullish on Snap ad growth https://t.co/TekdZS48et,1
$STXS: Lake Street starts at Buy,1
$TENB - Cowen sees upside in TENB's Indegy purchase https://t.co/Ve7bTreR7Y,1
"$UBER $LYFT - Uber, Lyft can raise prices to profit - Barclays https://t.co/1xx084l36h",1
$WABC: Maxim Group ups to Buy,1
$WRI: Compass Point ups to Buy,1
$ZS - New Zscaler bull sees 'sustainable' growth; shares +4% https://t.co/4fx811IVG5,1
"Activision, Take-Two charts look 'constructive' as Wells Fargo gets bullish on video game plays: Trader $ATVI $TTWO… https://t.co/1s0WRleA2n",1
Adobe stock price target raised to $315 vs. $290 at Wedbush,1
Adobe stock price target raised to $318 vs. $310 at Instinet,1
Aegis Capital positive on Netflix usage trend,1
"After a 60% drop in 6 months, Bank of America says buy pot stock Canopy",1
Akero Therapeutics started at buy with $36 stock price target at Canaccord Genuity,1
Align Technology stock price target raised to $305 from $290 at Stifel Nicolaus,1
Allergan upgraded to buy from neutral at UBS,1
Altria stock price target raised to $54 from $50 at Stifel Nicolaus,1
Amneal Pharma price target raised to $6 vs. $4 at SunTrust Robinson Humphrey,1
"An analyst at Loop Capital upgrades $LYFT  to buy from hold, citing higher revenue growth potential.  https://t.co/2blCalNe9P",1
Analyst: AT&T Is The Top Telecom Pick For 2020,1
Analysts Mostly Bullish On Newly Public Insurance Firm BRP Group,1
Analysts See 18% Gains Ahead For The Holdings Of The First Trust Dow Jones Internet Index Fund ETF,1
Ansys stock price target raised to $265 from $235 at Benchmark,1
Anthem stock price target raised to $330 from $300 at SunTrust RH,1
Applied Industrial Technologies stock price target raised to $70 from $65 at KeyBanc Capital,1
arGen-X stock price target raised to $255 vs. $203 at Instinet,1
Armata Pharmaceuticals started at buy with $8 stock price target at Maxim Group,1
Arrow Electronics stock price target raised to $87 vs. $84 at SunTrust Robinson Humphrey,1
"Asset Management One Co. has a bullish call on Treasuries. One for the long, long run https://t.co/8go8ZhMvdc",1
Audentes Therapeutics stock price target raised to $40 from $34 at Evercore ISI,1
Audentes Therapeutics upgraded to outperform from in line at Evercore ISI,1
Axcelis Technologies stock price target raised to $32 from $24 at Benchmark,1
Baird bullish on beat-up Canada Goose,1
Baird likes drug wholesalers in premarket analyst action,1
Baird returns to Wingstop bull camp,1
Baker Hughes started at buy with $32 stock price target at Deutsche Bank,1
Bank of America stock price target raised to $49 from $48 at Oppenheimer,1
Barclays analysts says Uber and Lyft are well-positioned to achieve profitability https://t.co/emLga0CBm1,1
"Bausch Health upgraded to overweight from neutral at JPMorgan, price target raised to $38 from $32",1
Bed Bath & Beyond reiterated as buy at BofA Merrill Lynch,1
Belden stock price target raised to $56 vs. $54 at SunTrust Robinson Humphrey,1
Benchmark says this roof supplier is a Buy,1
Bernstein turns bullish on VMware's valuation,1
Berry Petroleum upgraded to sector weight from underweight at KeyBanc Capital,1
Best Buy stock price target raised to $105 from $86 at Oppenheimer,1
Biogen stock price target raised to $392 from $320 at Instinet,1
Biogen stock price target raised to $410 from $350 at SVB Leerink,1
Boeing stock price target raised to $427 from $406 at CFRA,1
"BofA Upgrades WestRock After Containerboard Conference, London Pulp Week",1
"Bouygues SA Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Predictions",1
BTIG expects Domino's to boost buybacks,1
BTIG sees 'material improvement' to Ocwen book value,1
"Bull sees 2020 upsides for MU, WDC",1
Cabot upgraded to buy from neutral at UBS,1
"Canada Goose upgraded to outperform from neutral at Baird, price target C$53",1
Capital Southwest initiated at outperform at Raymond James with $23.50 price target,1
Celanese stock price target raised to $120 vs. $111 at BofA Merrill Lynch,1
CF Industries stock price target raised to $56 vs. $52 at BofA Merrill Lynch,1
CF Industries upgraded to buy vs. neutral at BofA Merrill Lynch,1
Ciena stock price target raised to $47 vs. $43 at Instinet,1
Citi gives big boost to Deere PT,1
Citi reels in PT on Nu Skin,1
"CITRON SAYS IT'S LONG ON LUCKIN COFFEE MW vs CItron",1
CNH Industrial upped to Buy at Deutsche Bank on valuation,1
Copa Holdings stock price target raised to $130 from $103 at Deutsche Bank,1
Costco price target raised to $330 vs. $320 at BofA Merrill Lynch,1
CSX stock price target raised to $90 from $72 at Deutsche Bank,1
CSX upgraded to buy from hold at Deutsche Bank,1
CVS Health stock price target raised to $90 from $85 at SunTrust RH,1
CyrusOne upgraded to overweight from sector weight at KeyBanc Capital,1
Diamondrock Hospitality upgraded to sector weight from underweight at KeyBanc Capital,1
DLH Holdings maintained as buy with $7 price target at Canaccord,1
Domtar upgraded to market perform at BMO Capital,1
Dow stock price target raised to $52 vs. $46 at BofA Merrill Lynch,1
"Earnings Update: Here's Why Analysts Just Lifted Their Aemetis, Inc. Price Target To US$2.25",1
Earnings Update: Here's Why Analysts Just Lifted Their Milestone Scientific Inc. Price Target To US$2.00,1
"Earnings Update: Here's Why Analysts Just Lifted Their Skyworks Solutions, Inc. Price Target To US$104",1
Eastman Chemical stock price target raised to $85 vs. $82 at BofA Merrill Lynch,1
Edgewell stock price target raised to $41 from $33 at CFRA,1
Elastic upgraded to buy from hold at Canaccord Genuity,1
"Enbridge upgraded to buy from neutral at UBS, price target lifted to C$54 from C$50",1
"Energizer Holdings upgraded to neutral from underweight at JP Morgan, price target lifted to $51 from $41",1
Energizer shakes off JPMorgan's bear call,1
Equity Lifestyle Properties upgraded to outperform at BMO Capital,1
Estee Lauder stock price target raised to $238 from $202 at Raymond James,1
Etsy initiated as buy with $55 price target at SunTrust Robinson Humphrey,1
FedEx stock price target raised to $168 from $163 at BofA Securities,1
FleetCor stock price target raised to $325 from $310 at CFRA,1
Ford's electric SUV impresses Credit Suisse,1
Fortinet stock price target raised to $115 from $104 at BMO Capital,1
Fortinet stock price target raised to $120 from $110 at Monness Crespi Hardt,1
"Glenmark Pharmaceuticals Limited Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Predictions",1
Goldman adds Workday to conviction list; shares +1%,1
"Goldman Says 36,000% Rally in Brazilian Retailer Has Room to Run",1
GrubHub stock price target raised to $40 from $34 at Oppenheimer,1
GrubHub stock price target raised to $60 from $30 at Susquehanna,1
"The USA stock market is closed Friday April 10, 2020 in observance of Good Friday",2
This week's #economic data releases & forecasts https://t.co/nWoqf7UPiu #AdvIntlTradeInGoods #AdvRetailInventories… https://t.co/bqHJvUPTHE,2
Trade momentum rose in September for the first time in four months https://t.co/dsCS1fltgF,2
Trade momentum rose in September for the first time in four months https://t.co/mdVAsk2sAd,2
Trading in China ETFs Soars as Trump Upends Tariff Optimism,2
Trading of Own Shares for Treasury Month: January 2020  #Stock #MarketScreener https://t.co/tW02ga4gHQ https://t.co/OjXKmfOETD,2
"U.S. equities edged higher, while European and Asian stocks slipped, as investors sought to gauge the economic hit... https://t.co/GimDRAOMRy",2
U.S. stock futures hold modest gains after housing reports,2
"U.S. stocks end higher Friday, but S&P 500 suffers weekly decline https://t.co/0BZLR3sOoF",2
"US indices are having the best year since 2013, but large cap active funds are poised to see the worst year since 2016: BofA",2
"Utilities 'the most underappreciated sector,' T. Rowe Price analyst says",2
"Wall Street ends near flat after U.S., China announce trade deal",2
Wall Street firms release their 2020 S&P 500 targets,2
Wall Street hovers near record levels; Boeing drags on Dow,2
Wall Street rallies on Friday but multi-week win streak ends https://t.co/2AIh0UaKbX,2
"Week ahead: Black Friday, Federal Reserve’s Powell https://t.co/gGzgz0fEPi",2
Weekly market update : The waiting game continues on trade #Weeklymarketupdate #marketscreener #MarketScreener… https://t.co/77sw5i2a8t,2
